company_code,employee_name,employee_role
abmd,Andrew J. Greenfield,Vice President and Chief Commercial Officer
abmd,Dr. Thorsten Siess Ph.D.,Vice President and Chief Technology Officer
abmd,Ingrid Goldberg Ward,Director of Investor Relations
abmd,Marc A. Began,"Vice President, General Counsel and Secretary"
abmd,Sarah Karr,Communications Manager
abmd,Karen Mahoney,Head of Global Human Resources
acn,David P. Rowland,Executive Chairman and Advisor to Chief Executive Officer
acn,Julie T. Spellman Sweet,Chief Executive Officer and Director
acn,Kathleen R. McClure,Chief Financial Officer
acn,Gianfranco Casati,Chief Executive Officer of Growth Markets
acn,Jean-Marc Ollagnier,Chief Executive Officer of Europe
acn,Johan G. Deblaere,Chief Operating Officer
acn,Richard P. Clark,Chief Accounting Officer and Corporate Controller
acn,Paul R. Daugherty,Group Chief Executive of Technology and Chief Technology Officer
acn,Angie Park,Managing Director and Head of Investor Relations
acn,Joel F. Unruch,General Counsel and Corporate Secretary
atvi,Robert A. Kotick,Chief Executive Officer and Director
atvi,Christopher B. Walther,Chief Legal Officer
atvi,Claudine Naughton,Chief People Officer
atvi,Daniel I. Alegre,President and Chief Operating Officer
atvi,Armin Zerza,Chief Commercial Officer and Chief Financial Officer
atvi,Jesse Yang,Senior Vice President and Chief Accounting Officer
atvi,Brian Bulatao,Chief Administrative Officer
atvi,Christopher Patrick Hickey CFA,Senior Vice President of Investor Relations
atvi,Hon. Frances Fragos Townsend,"Executive Vice President of Corporate Affairs, Corporate Secretary and Chief Compliance Officer"
atvi,Helaine S. Klasky,Chief Communications Officer
adbe,Shantanu Narayen,"Chairman, President and Chief Executive Officer"
adbe,John F. Murphy,Executive Vice President and Chief Financial Officer
adbe,Abhay Parasnis,"Executive Vice President, Chief Technology Officer and Chief Product Officer of Document Cloud"
adbe,Scott K. Belsky,Chief Product Officer and Executive Vice President of Creative Cloud
adbe,Anil S. Chakravarthy,Executive Vice President and GM of Digital Experience Business and Worldwide Field Operations
adbe,Mark S. Garfield,"Vice President, Chief Accounting Officer and Corporate Controller"
adbe,Cynthia A. Stoddard,Senior Vice President and Chief Information Officer
adbe,Jonathan Vaas,Vice President of Investor Relations
adbe,Dana Rao,"Executive Vice President, General Counsel and Corporate Secretary"
adbe,Ann Lewnes,Chief Marketing Officer and Executive Vice President of Corporate Strategy and Development
amd,Dr. Lisa T. Su Ph.D.,"President, Chief Executive Officer and Non-Independent Director"
amd,Devinder Kumar,"Executive Vice President, Chief Financial Officer and Treasurer"
amd,Mark D. Papermaster,Chief Technology Officer and Executive Vice President of Technology and Engineering
amd,Paul Darren Grasby,"Executive Vice President, Chief Sales Officer and President of EMEA"
amd,Richard A. Bergman,Executive Vice President of Computing and Graphics Business Group
amd,Keivan Keshvari,Senior Vice President of Global Operations
amd,Darla M. Smith,Corporate Vice President and Chief Accounting Officer
amd,Ruth Cotter,"Senior Vice President of Worldwide Marketing, Human Resources and Investor Relations"
amd,Harry A. Wolin,"Senior Vice President, General Counsel and Corporate Secretary"
amd,Robert Gama,Senior Vice President and Chief Human Resources Officer
aap,Thomas R. Greco,"President, Chief Executive Officer and Director"
aap,Jeffrey W. Shepherd,Executive Vice President and Chief Financial Officer
aap,Robert B. Cushing,Executive Vice President of Professional
aap,Reuben E. Slone,Executive Vice President of Supply Chain
aap,Carlos A. Saladrigas CPA,Co-Founder and Chief Executive Officer of Regis Human Resources
aap,Sri Donthi,Executive Vice President and Chief Technology Officer
aap,Elisabeth Eisleben,Senior Vice President of Communications and Investor Relations
aap,Tammy Moss Finley,"Executive Vice President, General Counsel and Corporate Secretary"
aap,Jason B. McDonell,"Executive Vice President of Merchandising, Marketing and E-Commerce"
aap,Natalie Rothman Schechtman,Executive Vice President and Chief Human Resources Officer
aes,Andres Ricardo Gluski Weilert,"President, Chief Executive Officer and Director"
aes,Gustavo Duarte Pimenta,Executive Vice President and Chief Financial Officer
aes,Bernerd Da Santos,"Executive Vice President, Chief Operating and Infrastructure Officer"
aes,Letitia D. Mendoza,Executive Vice President and Chief Human Resources Officer
aes,Lisa Krueger,Executive Vice President and President of US
aes,Sanjeev Addala,Chief Information Digital Officer and Senior Vice President
aes,Ahmed Pasha,Vice President of Investor Relations
aes,Paul L. Freedman,"Executive Vice President, General Counsel and Corporate Secretary"
aes,Julian Jose Nebreda Marques,President of South America
aes,Joel William Abramson,Senior Vice President of Mergers and Acquisitions
afl,Daniel Paul Amos,Chairman and Chief Executive Officer
afl,Frederick John Crawford,President and Chief Operating Officer
afl,Max Kristian Broden,"Executive Vice President, Chief Financial Officer and Treasurer"
afl,Eric Mark Kirsch CFA,"Executive Vice President, Global Chief Investment Officer and President of Aflac Asset Management LLC"
afl,Audrey Boone Tillman Esq.,Executive Vice President and General Counsel
afl,"June Posey Howard CPA, CFA, CGMA",Senior Vice President of Financial Services and Chief Accounting Officer
afl,J. Peter Kelso,Senior Vice President and Chief Information and Technology Officer
afl,David A. Young,Vice President of Investor and Rating Agency Relations
afl,Teresa Lynne White,President of Aflac US
afl,James Todd Daniels,"Executive Vice President, Director and Chief Financial Officer of Aflac Life Insurance Japan"
a,Michael R. McMullen,"Chief Executive Officer, President and Director"
a,Robert W. McMahon,Senior Vice President and Chief Financial Officer
a,Michael Tang,"Senior Vice President, General Counsel and Secretary"
a,Jacob Thaysen,Senior Vice President and President of Life Sciences and Applied Markets Group
a,Samraat S. Raha,Senior Vice President and President of Diagnostics and Genomics Group
a,Rodney Gonsalves,"Principal Accounting Officer, Vice President and Corporate Controller"
a,Dr. Darlene J. S. Solomon,Chief Technology Officer and Senior Vice President
a,Dominique P. Grau,Senior Vice President of Human Resources and Global Communications
a,Allison Ballmer,Senior Vice President of Strategy and Corporate Development
a,Richard A. Burdsall,Senior Vice President of Global Infrastructure Services
apd,Seifollah Ghasemi,"Chairman, President and Chief Executive Officer"
apd,Michael Scott Crocco,Executive Vice President and Chief Financial Officer
apd,Dr. Samir J. Serhan,Chief Operating Officer
apd,Sean D. Major,"Executive Vice President, General Counsel and Secretary"
apd,Russell A. Flugel,"SVice President, Corporate Controller and Principal Accounting Officer"
apd,William Karlson,Executive Director of Technology
apd,Brian Galovich,Senior Vice President and Chief Information Officer
apd,Simon R. Moore,"Vice President of Investor Relations, Corporate Relations and Sustainability"
apd,Katie McDonald,Vice President of Corporate Communications
apd,Victoria Brifo,Senior Vice President and Chief Human Resources Officer
akam,Dr. F. Thomson Leighton,"Co-Founder, Chief Executive Officer and Director"
akam,Rick M. McConnell,President and GM of Web Division
akam,Edward J. McGowan,Executive Vice President and Chief Financial Officer
akam,Dr. Robert Blumofe,Executive Vice President of Platform and GM of Enterprise Division
akam,Adam Karon,Executive Vice President and GM of Media and Carrier Divisions
akam,Keith Oslakovic,Senior Vice President of Global Performance and Operations
akam,Mani Sundaram,Executive Vice President of Global Services and Support and Chief Information Officer
akam,Tom Barth,Head of Investor Relations
akam,Aaron S. Ahola,"Executive Vice President, General Counsel and Corporate Secretary"
akam,Charlie Rice,Senior Vice President of Corporate and Business Development
alk,Bradley D. Tilden,Executive Chairman
alk,Benito Minicucci,"President, Chief Executive Officer and Director"
alk,Shane R. Tackett,Chief Financial Officer and Executive Vice President of finance
alk,Helvi Kay Sandvik,Independent Director
alk,Constance E. von Muehlen,Chief Operating Officer
alk,Kevin Thiel,Managing Director of Accounting Operations
alk,Lavanya Sareen,Managing Director of Investor Relations
alk,Kyle B. Levine,"Chief Ethics and Compliance Officer, Senior Vice President of Legal, General Counsel and Corporate Secretary"
alk,Geni Venable,Manager of Corporate Communication
alk,Mark Bocchi,Managing Director of Sales and Community Marketing
alb,Jerry Kent Masters Jr.,"Chairman, President and Chief Executive Officer"
alb,Scott A. Tozier,Executive Vice President and Chief Financial Officer
alb,Raphael Goszcz Crawford,President of Catalysts Global Business Unit
alb,Eric W. Norris,President of Lithium Global Business Unit
alb,Netha N. Johnson Jr.,President of Bromine Specialties Global Business Unit
alb,John Clarence Barichivich III,"Vice President, Corporate Controller and Chief Accounting Officer"
alb,Patrick Thompson,Chief Information Officer
alb,Karen G. Narwold Esq.,"Executive Vice President, Chief Administrative Officer, General Counsel and Corporate Secretary"
alb,Sharon B. McGee,Vice President of Corporate Development and Investor Relations
alb,Melissa H. Anderson,Senior Vice President and Chief Human Resources Officer
are,"Joel S. Marcus CPA, J.D.",Founder and Executive Chairman
are,Peter M. Moglia,Co-Chief Executive Officer and Co-Chief Investment Officer
are,Stephen A. Richardson,Co-Chief Executive Officer
are,Dean A. Shigenaga CPA,President and Chief Financial Officer
are,Daniel J. Ryan,Co-Chief Investment Officer and Regional Market Director of San Diego
are,Thomas J. Andrews,Executive Officer
are,James H. Richardson,Senior Management Consultant and Non-Executive Director
are,Lawrence J. Diamond,Co-Chief Operating Officer and Regional Market Director of Maryland
are,Joseph Hakman,Co-Chief Operating Officer and Chief Strategic Transactions Officer
are,"Andres R. Gavinet CPA, CPA",Chief Accounting Officer
alxn,Dr. Ludwig N. Hantson,Chief Executive Officer and Director
alxn,Dr. Aradhana Sarin M.D.,Executive Vice President and Chief Financial Officer
alxn,Brian M. Goff,Executive Vice President and Chief Commercial and Global Operations Officer
alxn,"Ellen V. Chiniara J.D., Esq.","Executive Vice President, Chief Legal Officer and Corporate Secretary"
alxn,Dr. John J. Orloff,Executive Vice President and Head of Research & Development
alxn,Daniel A. Bazarko CPA,Chief Accounting Officer and Senior Vice President
alxn,Christopher J. Stevo CFA,Head of Investor Relations
alxn,Indrani M. Lall Franchini,Executive Vice President and Chief Compliance Officer
alxn,Megan Goulart,Senior Director of Corporate Communications
alxn,Becky Lillie,Interim Chief Human Experience Officer
algn,Joseph M. Hogan,"President, Chief Executive Officer and Director"
algn,John F. Morici,Chief Financial Officer and Senior Vice President of Global Finance
algn,Vamsi Mohan-Raj Pudipeddi,"Senior Vice President and Chief Product, Innovation and Marketing Officer"
algn,Julie Tay,Senior Vice President and MD of Asia Pacific
algn,Simon Beard,MD for Americas Region and Senior Vice President
algn,Emory M. Wright,Senior Vice President of Global Operations
algn,Zelko Relic,Senior Vice President and Chief Technology Officer
algn,Shirley Stacy,Vice President of Corporate Communications and Investor Relations
algn,Julie Ann Coletti,Senior Vice President and Chief Legal and Regulatory Officer
algn,Stuart Hockridge,Senior Vice President of Global Human Resources
alle,David D. Petratis,"Chairman, Chief Executive Officer and Pres"
alle,Patrick S. Shannon,Chief Financial Officer and Senior Vice President
alle,Jeffrey N. Braun,Senior Vice President and General Counsel
alle,Timothy P. Eckersley,Senior Vice President of Allegion International
alle,Cynthia D. Farrer,Vice President of Global Operations and Integrated Supply Chain
alle,Douglas P. Ranck,"Chief Accounting Officer, Vice President and Controller"
alle,Vincent Wenos,Senior Vice President and Chief Technology Officer
alle,Tracy L. Kemp,Senior Vice President and Chief Information and Digital Officer
alle,Tom Martineau,Vice President of Investor Relations and Treasurer
alle,Shelleen A. Meador CPA,Senior Vice President of Human Resources and Communications
lnt,John O. Larsen,"Chairman, Chief Executive Officer and Pres"
lnt,Robert J. Durian,Executive Vice President and Chief Financial Officer
lnt,Terry L. Kouba,President of Iowa Energy and Senior Vice President of Operations
lnt,David A. de Leon,President of Wisconsin Energy and Senior Vice President of Operations
lnt,James H. Gallegos,"Executive Vice President, General Counsel and Corporate Secretary"
lnt,Benjamin M. Bilitz,Chief Accounting Officer and Controller
lnt,Tom Tang,Vice President and Chief Information Officer
lnt,Susan Trapp Gille,Manager of Investor Relations
lnt,Aimee L. Davis,Vice President of Communications and Marketing
lnt,Barbara Tormaschy,Vice President and Treasurer
all,Thomas Joseph Wilson II,"Board Chair, President and Chief Executive Officer"
all,Mario Rizzo,Executive Vice President and Chief Financial Officer
all,Dogan Civgin,Vice Chair and Chief Executive Officer of Protection Products and Services
all,"John Edward Dugenske C.F.A., M.B.A., CFA",President of Investments and Financial Products - AIC
all,Glenn Thomas Shapiro,President of Personal Property-Liability of AIC
all,John Charles Pintozzi,"Senior Vice President, Controller and Chief Accounting Officer"
all,Mark Nogal,Head of Investor Relations
all,Rhonda Smith Ferguson,"Executive Vice President, Chief Legal Officer, General Counsel and Secretary"
all,Samuel Henry Pilch,Senior Group Vice President and Controller of Allstate Insurance Company
all,Julie Parsons,Chief Operating Officer of Personal Property-Liability - Allstate Insurance Company
googl,Sundar Pichai,Chief Executive Officer and Director
googl,Lawrence Edward Page,Co-Founder and Director
googl,Sergey Brin,Co-Founder and Director
googl,Ruth M. Porat,Senior Vice President and Chief Financial Officer
googl,Dr. Eric E. Schmidt,Technical Advisor
googl,Amie Thuener O'Toole,Chief Accounting Officer and Vice President
googl,Ellen West,Vice President of Investor Relations
googl,Ivy Ross,Head of Project Aura and Vice President
googl,Dr. Astro Teller,Head of Google X
googl,Gulshan Verma,SVice President and Head of Client and Agency - Hotstar
goog,Sundar Pichai,Chief Executive Officer and Director
goog,Lawrence Edward Page,Co-Founder and Director
goog,Sergey Brin,Co-Founder and Director
goog,Ruth M. Porat,Senior Vice President and Chief Financial Officer
goog,Dr. Eric E. Schmidt,Technical Advisor
goog,Amie Thuener O'Toole,Chief Accounting Officer and Vice President
goog,Ellen West,Vice President of Investor Relations
goog,Ivy Ross,Head of Project Aura and Vice President
goog,Dr. Astro Teller,Head of Google X
goog,Gulshan Verma,SVice President and Head of Client and Agency - Hotstar
mo,William F. Gifford Jr.,Chief Executive Officer and Director
mo,Salvatore Mancuso,Executive Vice President and Chief Financial Officer
mo,Jody L. Begley,Executive Vice President and Chief Operating Officer
mo,Charles N. Whitaker,"Senior Vice President, Chief Human Resources Officer and Chief Compliance Officer"
mo,Murray R. Garnick,Executive Vice President and General Counsel
mo,Mac Livingston,Vice President of Investor Relations
mo,Todd A. Walker,Senior Vice President of Gov. Affairs - Altria Client Services LLC
mo,Michael Thorne-Begland,"Vice President and Chief Inclusion, Diversity and Equity Officer - Altria Client Services LLC"
mo,Paige Magness,Senior Vice President of Regulatory Affairs - Altria Client Services LLC
mo,Heather A. Newman,Senior Vice President of Corporate Strategy
amzn,Jeffrey P. Bezos,"Founder, Chairman, President and Chief Executive Officer"
amzn,Brian T. Olsavsky,Senior Vice President and Chief Financial Officer
amzn,David A. Zapolsky,"Senior Vice President, General Counsel and Secretary"
amzn,David H. Clark,Chief Executive Officer of Worldwide Consumer
amzn,Andrew R. Jassy,Chief Executive Officer of Amazon Web Services Inc.
amzn,Shelley L. Reynolds,"Vice President, Worldwide Controller and Principal Accounting Officer"
amzn,Dr. Werner Vogels,Chief Technology Officer
amzn,Dave Fildes,Director of Investor Relations
amzn,Ragia Samir,Head of Marketing
amzn,Beth Galetti,Senior Vice President of Worldwide Human Resources
amcr,"Ronald Stephen Delia B.Sc., MBA","MD, Chief Executive Officer and Executive Director"
amcr,"Michael John Casamento BBus (Acct), GradCert Mktg, MBA, CPA",Executive Vice President of Finance and Chief Financial Officer
amcr,Ian G. Wilson,Executive Vice President of Strategy and Development
amcr,"Peter Konieczny Dip Eng, MBA, MSc Mech Eng","President of Flexibles Europe, Middle East and Africa"
amcr,Eric V. Roegner,President of Rigid Packaging
amcr,Jerry S. Krempa,Vice President and Chief Accounting Officer
amcr,Tracey Whitehead,Head of Investor Relations
amcr,Sheri H. Edison,Executive Vice President and General Counsel
amcr,Ernesto Duran,Head of Global Communications
amcr,Steve M. Keogh,Executive Vice President of Human Resources
aee,"Warner L. Baxter CPA, CPA","Chairman, President and Chief Executive Officer"
aee,Michael L. Moehn,"Executive Vice President, Chief Financial Officer, Chairman of Ameren Missouri and President of Ameren Services"
aee,Martin J. Lyons Jr.,Chairman and President of Ameren Missouri
aee,Fadi M. Diya,Chief Nuclear Officer and Senior Vice President of Ameren Missouri
aee,Richard J. Mark,Chairman and President of Ameren Illinois
aee,Bruce A. Steinke,Senior Vice President of Finance and Chief Accounting Officer
aee,Andrew Kirk,Director of Investor Relations
aee,Chonda J. Nwamu Esq.,"Senior Vice President, General Counsel and Secretary"
aee,Mark C. Birk,Senior Vice President of Customer and Power Operations of Ameren Missouri
aee,Mark C. Lindgren,Senior Vice President of Corporate Communications and Chief Human Resources Officer of Ameren Services
aal,William Douglas Parker,Chairman and Chief Executive Officer
aal,Robert D. Isom Jr.,President
aal,Derek J. Kerr,Executive Vice President and Chief Financial Officer
aal,Maya Leibman,Executive Vice President and Chief Information Officer
aal,Stephen L. Johnson,Executive Vice President of Corporate Affairs
aal,David Seymour,Senior Vice President of Operations
aal,Daniel Cravens,Managing Director of Investor Relations
aal,Bruce Wark,Vice President and Deputy General Counsel
aal,Caroline Clayton,Managing Director of Corporate Communications
aal,Kenji Hashimoto,Senior Vice President of Finance and Corporate Development
aep,Nicholas K. Akins,"Chairman, President and Chief Executive Officer"
aep,Lisa M. Barton,Executive Vice President and Chief Operating Officer
aep,David M. Feinberg,"Executive Vice President, General Counsel and Secretary"
aep,Brian X. Tierney,Executive Vice President of Strategy
aep,Julia A. Sloat,Executive Vice President and Chief Financial Officer
aep,Joseph M. Buonaiuto,"Senior Vice President, Controller and Chief Accounting Officer"
aep,Therace M. Risch,Senior Vice President and Chief Information and Technology Officer
aep,Darcy Reese,Managing Director of Investor Relations
aep,Gina E. Mazzei-Smith,Chief Compliance Officer
aep,Melissa McHenry,Senior Vice President of Communications and Marketing
axp,Stephen Joseph Squeri,Chairman and Chief Executive Officer
axp,Jeffrey C. Campbell,Chief Financial Officer
axp,Laureen E. Seeger,Chief Legal Officer and Corporate Secretary
axp,Anre D. Williams,Group President of Global Merchant and Network Services
axp,Douglas E. Buckminster,Group President of Global Consumer Services
axp,Jessica Lieberman Quinn,"Executive Vice President, Corporate Controller and Principal Accounting Officer"
axp,Marc D. Gordon,Executive Vice President and CIO
axp,Vivian Y. Zhou,Senior Vice President and Head of Investor Relations
axp,Raymond Joabar,Chief Risk Officer and President of the Global Risk and Compliance
axp,Marina H. Norville,"Vice President of Public Affairs and Communications ? Corporate, Financial and Risk"
aig,Brian Charles Duperreault,Executive Chairman
aig,Peter Salvatore Zaffino,"President, Chief Executive Officer, Global Chief Operating Officer and Director"
aig,Mark Donald Lyons,Executive Vice President and Chief Financial Officer
aig,Douglas Adam Dachille,Executive Vice President and Chief Investment Officer
aig,Luciana Fato Esq.,"Executive Vice President, General Counsel and Global Head of Communications and Gov. Affairs"
aig,Elias Farid Habayeb,"Senior Vice President, Deputy Chief Financial Officer, Chief Accounting Officer of AIG and Chief Financial Officer of General Insurance"
aig,John P. Repko,Executive Vice President and Chief Information Officer
aig,Shane Fitzsimons,Executive Vice President and Chief Administrative Officer
aig,Sabra Rose Purtill CFA,"Deputy Chief Financial Officer and Head of Treasury, Investor and Rating Agency Relations and Corporate Development"
aig,Karen Nelson,Chief Compliance Officer
amt,Thomas A. Bartlett CPA,"President, Chief Executive Officer and Director"
amt,"Edmund DiSanto Esq., J.D.","Executive Vice President, Chief Administrative Officer, General Counsel and Secretary"
amt,Amit Sharma,Special Advisor and Chairman of Asia-Pacific Region
amt,Steven O. Vondran J.D.,Executive Vice President and President of US Tower Division
amt,Rodney M. Smith,"Executive Vice President, Chief Financial Officer and Treasurer"
amt,Robert J. Meyer Jr.,Senior Vice President and Chief Accounting Officer
amt,Edward M. Knapp,Chief Technology Officer
amt,Igor Khislavsky,Vice President of Investor Relations
amt,Olivier Puech,Executive Vice President and President of Latin America and EMEA
amt,Sanjay Goel,Executive Vice President and President of Asia-Pacific
awk,Walter J. Lynch,"President, Chief Executive Officer and Director"
awk,M. Susan Hardwick,Executive Vice President and Chief Financial Officer
awk,"Michael A. Sgro J.D., Esq.",Executive Vice President and General Counsel
awk,Cheryl D. Norton,Executive Vice President and Chief Operating Officer
awk,Melissa K. Wikle,"Vice President, Controller and Principal Accounting Officer"
awk,Adam W. Noble,Chief Technology and Innovation Officer
awk,Mark S. Smith,Chief Information Officer and Vice President
awk,Edward D. Vallejo,Vice President of Investor Relations
awk,Maureen Duffy,Senior Vice President of Communications and External Affairs
awk,Melanie M. Kennedy,Senior Vice President and Chief Human Resources Officer
amp,James M. Cracchiolo,Chairman and Chief Executive Officer
amp,Walter S. Berman,"Executive Vice President, Chief Financial Officer and Chief Risk Officer"
amp,Colin Moore AIIMR,Executive Vice President and Global Chief Investment Officer
amp,William Frederick Truscott,Chief Executive Officer of Global Asset Management
amp,Joseph Edward Sweeney,President of Advice and Wealth Management - Products and Service Delivery
amp,Charles Neal Maglaque,"President of Advice and Wealth Management, Business Development and Chief Operating Officer"
amp,John R. Hutt,"Senior Vice President of Corporate Finance, Controller and Principal Accounting Officer"
amp,Gerard P. Smyth,Executive Vice President and Chief Information Officer
amp,Alicia A. Charity,Senior Vice President of Investor Relations
amp,Karen Wilson Thissen,Executive Vice President and General Counsel
abc,Steven H. Collis,"Chairman, President and Chief Executive Officer"
abc,James F. Cleary Jr.,Executive Vice President and Chief Financial Officer
abc,Gina K. Clark,Executive Vice President and Chief Communications and Administrative Officer
abc,John G. Chou,Executive Vice President and Chief Legal Officer
abc,"Dr. Robert P. Mauch PharmD, Ph.D.",Executive Vice President and Group Pres
abc,Lazarus Krikorian,"Senior Vice President, Chief Accounting Officer and Corporate Controller"
abc,Bennett S. Murphy,Senior Vice President of Investor Relations
abc,Kathy H. Gaddes,Executive Vice President and Chief Compliance Officer
abc,Silvana Battaglia,Executive Vice President and Chief Human Resources Officer
abc,Leslie E. Donato,Executive Vice President and Chief Strategy Officer
ame,David A. Zapico,Chairman and Chief Executive Officer
ame,William Joseph Burke,Executive Vice President and Chief Financial Officer
ame,John Wesley Hardin Jr.,President of Electronic Instruments
ame,Thomas C. Marecic,President of Electronic Instruments
ame,Timothy N. Jones,President of Electromechanical Group
ame,Thomas M. Montgomery,"Senior Vice President, Comptroller and Principal Accounting Officer"
ame,Kenneth C. Weirman,Chief Information Officer and Vice President
ame,Ronald J. Oscher,Chief Administrative Officer
ame,Kevin C. Coleman,Vice President of Investor Relations
ame,Thomas A. Deeney,Vice President of Corporate Compliance and Auditing
amgn,Robert A. Bradway,"Chairman, Chief Executive Officer and Pres"
amgn,Peter H. Griffith,Executive Vice President and Chief Financial Officer
amgn,Esteban Santos,Executive Vice President of Operations
amgn,Dr. David M. Reese M.D.,Executive Vice President of Research & Development
amgn,Murdo Gordon,Executive Vice President of Global Commercial Operations
amgn,Linda H. Louie,Vice President of Finance and Chief Accounting Officer
amgn,Mike Zahigian,Senior Vice President and Chief Information Officer
amgn,Arvind Sood,Vice President of Investor Relations
amgn,Jonathan P. Graham,"Executive Vice President, General Counsel and Secretary"
amgn,Nancy A. Grygiel,Senior Vice President of Worldwide Compliance and Business Ethics and Chief Compliance Officer
aph,Richard Adam Norwitt,"President, Chief Executive Officer and Director"
aph,Craig A. Lampo,Senior Vice President and Chief Financial Officer
aph,William J. Doherty,Senior Vice President and Group GM of Information Communications and Commercial Products Group
aph,Sherri Ann Scribner,Vice President of Strategy and Investor Relations
aph,Lance E. D'Amico,"Senior Vice President, Secretary and General Counsel"
aph,David M. Silverman,Senior Vice President of Human Resources
aph,Luc Walter,Senior Vice President and Group GM of Military and Aerospace Operations
aph,Jean-Luc Gavelle,Senior Vice President and Group General Manager of Interconnect and Sensor Systems Group
aph,Michael R. Ivas,Vice President and Controller
aph,Mark C. Turner,Vice President and Treasurer
adi,Dr. Raymond S. Stata Ph.D.,Founder and Chairman
adi,Vincent T. Roche,"President, Chief Executive Officer and Director"
adi,Prashanth Mahendra-Rajah,Senior Vice President of Finance and Chief Financial Officer
adi,Joseph Hassett,Senior Vice President of Corporate Integration Management
adi,Martin Cotter,"Senior Vice President of the Industrial, Consumer and Multi-Markets Business Group"
adi,Steven Pietkiewicz,Senior Advisor
adi,Stephan Lattari,Senior Vice President of Global Operations and Technology
adi,Michael Sondel,Chief Accounting Officer
adi,Daniel Leibholz,Senior Vice President and Chief Technology Officer
adi,Michael C. Lucarelli,Senior Director of Investor Relations
anss,Dr. Ajei S. Gopal,"President, Chief Executive Officer and Director"
anss,Nicole Anasenes,Chief Financial Officer and Senior Vice President of finance
anss,Maria T. Shields,Senior Vice President of Administrative
anss,Richard S. Mahoney,Senior Vice President of Worldwide Sales and Customer Excellence
anss,Shane Emswiler,Senior Vice President of Products
anss,Dr. Prithviraj Banerjee,Chief Technology Officer
anss,Kelsey DeBriyn,Head of Investor Relations and Gov. Affairs
anss,Janet Lee,"Vice President, General Counsel and Secretary"
anss,M. Lee Detwiler,Vice President of Finance
anss,Mark Hindsbo,Vice President - Design and Platform Business Unit and GM - Design and Platform Business Unit
antm,Gail Koziara Boudreaux,"President, Chief Executive Officer and Director"
antm,John Edward Gallina,Executive Vice President and Chief Financial Officer
antm,Gloria Marie McCarthy,Executive Vice President and Chief Administrative Officer
antm,Peter David Haytaian,Executive Vice President and President of Commercial and Specialty Business Division
antm,Felicia Farr Norwood,Executive Vice President and President of Gov. Business Division
antm,Scott Wayne Anglin,"SVice President, Treasurer and Chief Investment Officer"
antm,Ronald William Penczek,"Senior Vice President, Controller and Chief Accounting Officer"
antm,Thomas H. Miller,Senior Vice President and Chief Information Officer
antm,"Stephen Vartan Tanal C.F.A., CFA",Vice President of Investor Relations
antm,Blair Williams Todt,Executive Vice President and Chief Legal Officer
aon,Gregory Clarence Case,Chief Executive Officer and Executive Director
aon,Eric Andersen,President
aon,Christa Davies,Executive Vice President and Chief Financial Officer
aon,John G. Bruno,Transitional Consultant
aon,James Platt,Chief Operating Officer
aon,Michael Neller,"Chief Accounting Officer, Senior Vice President and Global Controller"
