company_code,trading_date,current_stock_price,previous_closing_stock_price,stock_price_change,percentage_stock_price_change,opening_stock_price,stocks_day_range,day_trading_volume,fifty_two_week_range,analysts_forecast
apd,April 27,$289.79,$290.18,-0.39,-0.13%,289.73,287.00 - 290.69,"519,280",214.43 - 324.54,"According to 25 analysts, the average rating for APD stock is ""Buy."" The 12-month stock price forecast is 304.90, which is an increase of 5.21% from the latest price."
akam,April 27,$111.62,$109.75,1.87,1.70%,110.05,110.05 - 111.76,"1,973,266",92.64 - 124.91,"According to 17 analysts, the average rating for AKAM stock is ""Buy."" The 12-month stock price forecast is 125.25, which is an increase of 12.21% from the latest price."
alk,April 27,$69.08,$69.48,-0.40,-0.58%,69.00,68.49 - 69.72,"838,334",23.39 - 74.25,
alb,April 27,$169.75,$170.57,-0.82,-0.48%,169.00,167.46 - 171.60,"764,679",54.99 - 187.87,"According to 22 analysts, the average rating for Albemarle stock is ""Hold."" The 12-month stock price forecast is 152.68, which is a decrease of -10.06% from the latest price."
are,April 27,$178.01,$179.57,-1.56,-0.87%,179.64,177.27 - 179.25,"695,456",133.03 - 181.08,"According to 12 analysts, the average rating for ARE stock is ""Strong Buy."" The 12-month stock price forecast is 193.59, which is an increase of 8.75% from the latest price."
alxn,April 27,$167.06,$167.00,0.06,0.04%,167.44,166.95 - 168.18,"1,896,158",94.82 - 168.51,"According to 18 analysts, the average rating for ALXN stock is ""Hold."" The 12-month stock price forecast is 172.50, which is an increase of 3.26% from the latest price."
algn,April 27,$621.76,$617.24,4.52,0.73%,620.41,613.73 - 625.79,"365,436",195.56 - 634.46,"According to 17 analysts, the average rating for ALGN stock is ""Buy."" The 12-month stock price forecast is 638.15, which is an increase of 2.64% from the latest price."
alle,April 27,$137.65,$136.25,1.40,1.03%,136.29,135.00 - 138.63,"817,064",88.73 - 140.21,"According to 12 analysts, the average rating for Allegion stock is ""Hold."" The 12-month stock price forecast is 142.30, which is an increase of 3.38% from the latest price."
lnt,April 27,$55.52,$56.24,-0.72,-1.28%,56.06,55.42 - 56.10,"985,336",43.39 - 57.81,"According to 11 analysts, the average rating for Alliant Energy stock is ""Buy."" The 12-month stock price forecast is 57.56, which is an increase of 3.67% from the latest price."
all,April 27,$125.84,$125.30,0.54,0.43%,125.29,125.07 - 125.92,"877,961",83.86 - 126.27,"According to 18 analysts, the average rating for Allstate stock is ""Buy."" The 12-month stock price forecast is 132.50, which is an increase of 5.29% from the latest price."
googl,April 27,"$2,290.98","$2,309.93",-18.95,-0.82%,"2,315.68","2,286.16 - 2,318.45","1,659,197","1,230.38 - 2,324.53","According to 44 analysts, the average rating for Alphabet stock is ""Strong Buy."" The 12-month stock price forecast is 2,426.55, which is an increase of 5.92% from the latest price."
goog,April 27,"$2,307.12","$2,326.74",-19.62,-0.84%,"2,336.00","2,304.20 - 2,337.45","1,202,425","1,232.20 - 2,341.26","According to 45 analysts, the average rating for Alphabet stock is ""Strong Buy."" The 12-month stock price forecast is 2,330.45, which is an increase of 1.01% from the latest price."
mo,April 27,$47.16,$47.22,-0.06,-0.13%,47.18,46.96 - 47.42,"5,011,140",32.36 - 52.59,
amzn,April 27,"$3,417.43","$3,409.00",8.43,0.25%,"3,444.00","3,398.01 - 3,460.00","3,526,271","2,256.38 - 3,552.25","According to 46 analysts, the average rating for Amazon stock is ""Strong Buy."" The 12-month stock price forecast is 3,993.18, which is an increase of 16.85% from the latest price."
amcr,April 27,$11.67,$11.74,-0.07,-0.60%,11.65,11.59 - 11.70,"4,486,142",8.08 - 12.15,"According to 6 analysts, the average rating for Amcor stock is ""Hold."" The 12-month stock price forecast is 12.36, which is an increase of 5.91% from the latest price."
aee,April 27,$83.45,$84.20,-0.75,-0.89%,84.02,83.43 - 84.16,"735,860",64.99 - 86.56,"According to 14 analysts, the average rating for Ameren stock is ""Buy."" The 12-month stock price forecast is 86.52, which is an increase of 3.68% from the latest price."
aal,April 27,$21.76,$22.04,-0.28,-1.27%,21.99,21.60 - 22.07,"25,933,602",8.25 - 26.09,
aep,April 27,$87.20,$87.60,-0.40,-0.46%,87.34,87.08 - 87.91,"1,843,697",74.31 - 93.35,"According to 19 analysts, the average rating for AEP stock is ""Buy."" The 12-month stock price forecast is 96.40, which is an increase of 10.55% from the latest price."
axp,April 27,$150.36,$150.34,0.02,0.01%,150.52,148.85 - 150.88,"2,156,753",74.85 - 151.12,"According to 28 analysts, the average rating for AXP stock is ""Buy."" The 12-month stock price forecast is 149.47, which is a decrease of -0.59% from the latest price."
aig,April 27,$48.44,$47.53,0.91,1.91%,47.38,47.38 - 48.52,"3,580,356",22.30 - 49.00,
amt,April 27,$252.49,$252.99,-0.50,-0.20%,253.68,251.63 - 254.55,"1,324,507",196.48 - 267.99,"According to 18 analysts, the average rating for American Tower stock is ""Buy."" The 12-month stock price forecast is 273.71, which is an increase of 8.40% from the latest price."
awk,April 27,$155.10,$157.71,-2.61,-1.65%,157.94,154.55 - 158.08,"1,067,605",111.33 - 171.98,"According to 18 analysts, the average rating for AWK stock is ""Buy."" The 12-month stock price forecast is 163.93, which is an increase of 5.69% from the latest price."
amp,April 27,$256.53,$247.50,9.03,3.65%,250.99,250.99 - 259.64,"773,961",104.03 - 259.64,"According to 13 analysts, the average rating for AMP stock is ""Buy."" The 12-month stock price forecast is 260.50, which is an increase of 1.55% from the latest price."
abc,April 27,$118.80,$119.73,-0.93,-0.78%,119.30,117.78 - 119.77,"1,217,245",80.10 - 121.82,
ame,April 27,$135.10,$134.69,0.41,0.30%,134.92,133.64 - 135.35,"542,969",74.70 - 136.04,"According to 16 analysts, the average rating for AMETEK, Inc. stock is ""Buy."" The 12-month stock price forecast is 138.31, which is an increase of 2.38% from the latest price."
amgn,April 27,$255.13,$255.52,-0.39,-0.15%,255.84,253.76 - 256.53,"1,448,229",207.32 - 274.65,"According to 30 analysts, the average rating for Amgen stock is ""Buy."" The 12-month stock price forecast is 256.85, which is an increase of 0.67% from the latest price."
aph,April 27,$68.26,$68.98,-0.72,-1.04%,68.94,67.77 - 69.29,"3,146,118",39.61 - 69.62,"According to 17 analysts, the average rating for Amphenol stock is ""Buy."" The 12-month stock price forecast is 71.79, which is an increase of 5.17% from the latest price."
adi,April 27,$159.55,$160.64,-1.09,-0.68%,161.34,159.47 - 161.93,"3,232,502",98.18 - 163.90,"According to 24 analysts, the average rating for Analog Devices stock is ""Buy."" The 12-month stock price forecast is 182.75, which is an increase of 14.54% from the latest price."
anss,April 27,$373.51,$376.88,-3.37,-0.89%,377.70,370.20 - 378.75,"268,069",244.53 - 413.19,"According to 15 analysts, the average rating for ANSYS, Inc. stock is ""Buy."" The 12-month stock price forecast is 370.62, which is a decrease of -0.77% from the latest price."
antm,April 27,$376.86,$377.51,-0.65,-0.17%,375.76,373.66 - 377.70,"800,797",242.57 - 386.78,"According to 23 analysts, the average rating for Anthem stock is ""Buy."" The 12-month stock price forecast is 412.75, which is an increase of 9.52% from the latest price."
aon,April 27,$233.79,$229.52,4.27,1.86%,230.71,230.00 - 235.08,"1,518,336",166.31 - 240.02,"According to 16 analysts, the average rating for Aon plc stock is ""Buy."" The 12-month stock price forecast is 247.08, which is an increase of 5.68% from the latest price."
aos,April 27,$68.12,$67.90,0.22,0.32%,67.67,67.17 - 68.19,"1,335,398",37.96 - 70.13,"According to 13 analysts, the average rating for A. O. Smith stock is ""Buy."" The 12-month stock price forecast is 64.78, which is a decrease of -4.90% from the latest price."
apa,April 27,$19.03,$18.65,0.38,2.04%,18.80,18.62 - 19.15,"5,128,989",16.27 - 23.81,"According to 30 analysts, the average rating for Apache stock is ""Buy."" The 12-month stock price forecast is 23.66, which is an increase of 24.33% from the latest price."
aapl,April 27,$134.39,$134.72,-0.33,-0.24%,135.10,134.11 - 135.41,"60,225,424",69.01 - 144.87,"According to 40 analysts, the average rating for Apple stock is ""Buy."" The 12-month stock price forecast is 152.06, which is an increase of 13.15% from the latest price."
amat,April 27,$136.78,$137.30,-0.52,-0.38%,138.08,135.55 - 138.25,"4,510,110",45.66 - 146.00,"According to 27 analysts, the average rating for AMAT stock is ""Buy."" The 12-month stock price forecast is 154.76, which is an increase of 13.15% from the latest price."
aptv,April 27,$146.71,$145.20,1.51,1.04%,145.78,145.02 - 147.86,"1,019,807",57.26 - 160.14,"According to 27 analysts, the average rating for Aptiv stock is ""Buy."" The 12-month stock price forecast is 160.73, which is an increase of 9.56% from the latest price."
adm,April 27,$61.82,$59.98,1.84,3.07%,59.83,59.50 - 62.51,"4,741,234",31.96 - 62.51,"According to 14 analysts, the average rating for ADM stock is ""Buy."" The 12-month stock price forecast is 59.92, which is a decrease of -3.07% from the latest price."
anet,April 27,$319.02,$321.07,-2.05,-0.64%,322.27,317.30 - 322.69,"300,686",192.96 - 326.60,"According to 29 analysts, the average rating for ANET stock is ""Buy."" The 12-month stock price forecast is 344.50, which is an increase of 7.99% from the latest price."
ajg,April 27,$138.59,$135.83,2.76,2.03%,136.23,135.63 - 138.72,"802,569",75.00 - 138.72,"According to 13 analysts, the average rating for AJG stock is ""Buy."" The 12-month stock price forecast is 138.67, which is an increase of 0.06% from the latest price."
aiz,April 27,$156.34,$155.17,1.17,0.75%,155.63,154.29 - 156.52,"243,180",82.50 - 157.40,"According to 4 analysts, the average rating for Assurant stock is ""Buy."" The 12-month stock price forecast is 167.50, which is an increase of 7.14% from the latest price."
t,April 27,$30.77,$30.91,-0.14,-0.45%,30.80,30.63 - 30.88,"30,142,124",25.46 - 31.89,
ato,April 27,$101.48,$102.41,-0.93,-0.91%,102.50,101.30 - 102.50,"530,710",84.59 - 107.28,"According to 12 analysts, the average rating for Atmos Energy stock is ""Buy."" The 12-month stock price forecast is 104.89, which is an increase of 3.36% from the latest price."
adsk,April 27,$297.87,$299.34,-1.47,-0.49%,299.41,294.25 - 299.97,"812,676",170.57 - 321.13,"According to 21 analysts, the average rating for Autodesk stock is ""Buy."" The 12-month stock price forecast is 322.00, which is an increase of 8.10% from the latest price."
adp,April 27,$195.89,$195.14,0.75,0.38%,194.96,193.84 - 196.00,"1,589,756",125.98 - 197.28,"According to 20 analysts, the average rating for ADP stock is ""Hold."" The 12-month stock price forecast is 185.17, which is a decrease of -5.47% from the latest price."
azo,April 27,"$1,455.79","$1,443.88",11.91,0.82%,"1,451.33","1,441.70 - 1,463.23","188,348","982.30 - 1,524.98","According to 25 analysts, the average rating for AutoZone stock is ""Buy."" The 12-month stock price forecast is 1,496.06, which is an increase of 2.77% from the latest price."
avb,April 27,$195.31,$194.77,0.54,0.28%,195.52,193.55 - 196.44,"506,868",128.95 - 196.44,"According to 21 analysts, the average rating for AVB stock is ""Buy."" The 12-month stock price forecast is 186.68, which is a decrease of -4.42% from the latest price."
avy,April 27,$204.24,$200.79,3.45,1.72%,199.84,200.00 - 205.49,"1,075,753",97.09 - 205.49,"According to 15 analysts, the average rating for Avery Dennison stock is ""Buy."" The 12-month stock price forecast is 196.60, which is a decrease of -3.74% from the latest price."
bkr,April 27,$19.92,$20.14,-0.22,-1.09%,20.18,19.57 - 20.35,"8,295,143",11.89 - 25.64,
bll,April 27,$92.90,$92.90,0.00,0.00%,92.41,91.90 - 93.45,"757,033",59.36 - 102.42,"According to 17 analysts, the average rating for BLL stock is ""Buy."" The 12-month stock price forecast is 103.71, which is an increase of 11.64% from the latest price."
bac,April 27,$39.88,$39.41,0.47,1.19%,39.70,39.51 - 39.92,"30,732,988",19.60 - 40.38,"According to 27 analysts, the average rating for BAC stock is ""Buy."" The 12-month stock price forecast is 42.78, which is an increase of 7.27% from the latest price."
bk,April 27,$48.55,$47.80,0.75,1.57%,47.87,47.58 - 48.66,"5,566,795",30.28 - 48.81,"According to 19 analysts, the average rating for BK stock is ""Buy."" The 12-month stock price forecast is 52.19, which is an increase of 7.50% from the latest price."
bax,April 27,$86.76,$87.36,-0.60,-0.69%,86.97,86.17 - 87.21,"1,391,546",74.32 - 92.16,"According to 19 analysts, the average rating for BAX stock is ""Buy."" The 12-month stock price forecast is 92.47, which is an increase of 6.58% from the latest price."
bdx,April 27,$258.21,$257.45,0.76,0.30%,257.14,253.21 - 259.44,"1,053,653",218.00 - 283.03,"According to 18 analysts, the average rating for BDX stock is ""Buy."" The 12-month stock price forecast is 279.77, which is an increase of 8.35% from the latest price."
brk.b,April 27,$273.65,$270.86,2.79,1.03%,271.25,270.05 - 274.16,"2,491,314",167.04 - 274.16,"According to 4 analysts, the average rating for BRK.B stock is ""Buy."" The 12-month stock price forecast is 278.50, which is an increase of 1.77% from the latest price."
bby,April 27,$118.35,$117.02,1.33,1.14%,117.45,117.00 - 119.28,"1,146,595",69.06 - 123.87,"According to 29 analysts, the average rating for Best Buy stock is ""Buy."" The 12-month stock price forecast is 116.50, which is a decrease of -1.56% from the latest price."
bio,April 27,$648.72,$648.34,0.38,0.06%,648.00,641.75 - 650.68,"116,882",425.00 - 689.00,"According to 4 analysts, the average rating for BIO stock is ""Buy."" The 12-month stock price forecast is 752.50, which is an increase of 16.00% from the latest price."
biib,April 27,$267.39,$269.46,-2.07,-0.77%,269.07,265.88 - 270.68,"617,665",223.25 - 363.92,"According to 33 analysts, the average rating for Biogen stock is ""Hold."" The 12-month stock price forecast is 286.97, which is an increase of 7.32% from the latest price."
blk,April 27,$820.51,$818.32,2.19,0.27%,817.70,812.68 - 822.76,"242,606",440.82 - 827.85,"According to 17 analysts, the average rating for BlackRock stock is ""Buy."" The 12-month stock price forecast is 906.93, which is an increase of 10.53% from the latest price."
ba,April 27,$242.47,$241.44,1.03,0.43%,241.88,239.41 - 243.49,"9,801,969",113.89 - 278.57,"According to 23 analysts, the average rating for Boeing stock is ""Buy."" The 12-month stock price forecast is 251.91, which is an increase of 3.89% from the latest price."
bkng,April 27,"$2,464.15","$2,458.25",5.90,0.24%,"2,458.00","2,441.67 - 2,469.12","220,717","1,303.25 - 2,489.41","According to 33 analysts, the average rating for BKNG stock is ""Buy."" The 12-month stock price forecast is 2,487.04, which is an increase of 0.93% from the latest price."
bwa,April 27,$50.11,$50.49,-0.38,-0.75%,50.29,50.02 - 50.63,"1,632,580",24.73 - 51.88,"According to 20 analysts, the average rating for BorgWarner stock is ""Buy."" The 12-month stock price forecast is 51.12, which is an increase of 2.02% from the latest price."
bxp,April 27,$108.10,$107.33,0.77,0.72%,107.62,106.64 - 108.78,"904,446",68.30 - 109.31,"According to 21 analysts, the average rating for BXP stock is ""Buy."" The 12-month stock price forecast is 108.88, which is an increase of 0.72% from the latest price."
bsx,April 27,$42.41,$42.27,0.14,0.33%,41.99,41.59 - 42.76,"8,400,876",32.99 - 42.94,
bmy,April 27,$65.96,$65.89,0.07,0.11%,66.00,65.60 - 66.28,"6,316,056",52.43 - 66.93,
avgo,April 27,$466.35,$471.85,-5.50,-1.17%,473.70,465.06 - 474.26,"1,086,179",245.84 - 491.30,"According to 33 analysts, the average rating for Broadcom stock is ""Buy."" The 12-month stock price forecast is 512.85, which is an increase of 9.97% from the latest price."
br,April 27,$161.23,$161.02,0.21,0.13%,160.47,159.96 - 161.49,"357,771",108.91 - 163.43,"According to 9 analysts, the average rating for BR stock is ""Hold."" The 12-month stock price forecast is 163.17, which is an increase of 1.20% from the latest price."
bf.b,April 27,$75.82,$75.96,-0.14,-0.18%,76.09,74.87 - 76.09,"542,915",59.70 - 82.81,"According to 17 analysts, the average rating for Brown-Forman stock is ""Sell."" The 12-month stock price forecast is 72.59, which is a decrease of -4.26% from the latest price."
chrw,April 27,$96.59,$98.14,-1.55,-1.58%,98.20,96.35 - 99.31,"1,755,563",66.95 - 105.58,"According to 24 analysts, the average rating for C.H. Robinson stock is ""Hold."" The 12-month stock price forecast is 99.42, which is an increase of 2.93% from the latest price."
cog,April 27,$16.79,$16.44,0.35,2.13%,16.41,16.40 - 16.82,"5,342,843",15.58 - 22.30,"According to 26 analysts, the average rating for COG stock is ""Buy."" The 12-month stock price forecast is 21.19, which is an increase of 26.21% from the latest price."
cdns,April 27,$132.75,$144.23,-11.48,-7.96%,135.00,130.45 - 136.91,"5,626,031",75.27 - 149.08,"According to 15 analysts, the average rating for CDNS stock is ""Buy."" The 12-month stock price forecast is 150.13, which is an increase of 13.09% from the latest price."
czr,April 27,$101.77,$96.98,4.79,4.94%,98.88,98.35 - 102.14,"4,326,772",16.91 - 106.20,
cpb,April 27,$48.02,$47.92,0.10,0.21%,47.85,47.44 - 48.09,"1,865,159",43.54 - 53.37,"According to 19 analysts, the average rating for Campbell Soup stock is ""Hold."" The 12-month stock price forecast is 51.10, which is an increase of 6.41% from the latest price."
cof,April 27,$138.95,$138.29,0.66,0.48%,138.61,138.04 - 139.54,"2,704,722",51.76 - 139.94,"According to 24 analysts, the average rating for COF stock is ""Buy."" The 12-month stock price forecast is 143.38, which is an increase of 3.19% from the latest price."
cah,April 27,$59.76,$60.48,-0.72,-1.19%,60.20,59.42 - 60.26,"1,742,416",43.44 - 62.47,
kmx,April 27,$133.05,$131.43,1.62,1.23%,131.51,131.23 - 134.19,"638,365",69.41 - 136.54,"According to 17 analysts, the average rating for CarMax stock is ""Buy."" The 12-month stock price forecast is 137.09, which is an increase of 3.04% from the latest price."
ccl,April 27,$27.81,$27.55,0.26,0.94%,27.55,27.14 - 27.88,"16,533,282",11.00 - 30.63,
carr,April 27,$44.96,$44.10,0.86,1.95%,44.15,44.00 - 45.04,"5,677,077",15.29 - 45.16,"According to 17 analysts, the average rating for Carrier Global stock is ""Buy."" The 12-month stock price forecast is 47.53, which is an increase of 5.72% from the latest price."
ctlt,April 27,$112.73,$115.69,-2.96,-2.56%,115.03,112.70 - 115.11,"648,479",65.00 - 127.68,"According to 12 analysts, the average rating for Catalent stock is ""Strong Buy."" The 12-month stock price forecast is 133.90, which is an increase of 18.78% from the latest price."
cat,April 27,$230.34,$230.56,-0.22,-0.10%,230.29,228.08 - 230.86,"1,581,579",98.43 - 236.71,"According to 24 analysts, the average rating for Caterpillar stock is ""Buy."" The 12-month stock price forecast is 224.36, which is a decrease of -2.60% from the latest price."
cboe,April 27,$103.98,$104.94,-0.96,-0.91%,105.30,103.94 - 105.70,"317,941",77.63 - 107.11,"According to 18 analysts, the average rating for CBOE stock is ""Buy."" The 12-month stock price forecast is 105.10, which is an increase of 1.08% from the latest price."
cbre,April 27,$83.48,$84.05,-0.57,-0.68%,83.98,83.08 - 84.35,"1,328,224",33.03 - 84.35,"According to 8 analysts, the average rating for CBRE Group stock is ""Buy."" The 12-month stock price forecast is 84.00, which is an increase of 0.62% from the latest price."
cdw,April 27,$183.49,$183.11,0.38,0.21%,183.01,181.67 - 183.72,"472,313",92.58 - 184.58,"According to 11 analysts, the average rating for CDW stock is ""Buy."" The 12-month stock price forecast is 180.00, which is a decrease of -1.90% from the latest price."
ce,April 27,$156.53,$157.76,-1.23,-0.78%,157.31,155.66 - 157.65,"869,519",68.20 - 160.78,"According to 19 analysts, the average rating for Celanese stock is ""Buy."" The 12-month stock price forecast is 169.71, which is an increase of 8.42% from the latest price."
cnc,April 27,$61.31,$66.00,-4.69,-7.11%,64.00,61.00 - 64.49,"9,726,803",53.60 - 72.31,"According to 16 analysts, the average rating for Centene stock is ""Strong Buy."" The 12-month stock price forecast is 79.92, which is an increase of 30.35% from the latest price."
cnp,April 27,$23.81,$23.99,-0.18,-0.75%,23.98,23.69 - 24.03,"8,512,502",15.29 - 25.05,
cern,April 27,$75.51,$75.61,-0.10,-0.13%,75.27,74.93 - 75.94,"1,463,482",62.42 - 83.95,"According to 23 analysts, the average rating for Cerner stock is ""Buy."" The 12-month stock price forecast is 81.65, which is an increase of 8.13% from the latest price."
cf,April 27,$48.99,$48.47,0.52,1.07%,48.47,47.82 - 49.44,"1,466,049",22.47 - 51.24,"According to 21 analysts, the average rating for CF Industries stock is ""Buy."" The 12-month stock price forecast is 52.47, which is an increase of 7.10% from the latest price."
schw,April 27,$69.64,$67.77,1.87,2.76%,68.28,67.87 - 69.76,"8,745,525",31.24 - 69.76,"According to 19 analysts, the average rating for Charles Schwab stock is ""Buy."" The 12-month stock price forecast is 78.10, which is an increase of 12.15% from the latest price."
chtr,April 27,$653.52,$652.57,0.95,0.15%,652.91,650.47 - 658.48,"491,403",485.01 - 681.71,"According to 31 analysts, the average rating for CHTR stock is ""Buy."" The 12-month stock price forecast is 711.29, which is an increase of 8.84% from the latest price."
cvx,April 27,$102.70,$101.52,1.18,1.16%,101.81,101.51 - 103.10,"5,810,307",64.22 - 112.70,
cmg,April 27,"$1,468.87","$1,470.79",-1.92,-0.13%,"1,479.26","1,465.54 - 1,494.61","228,504","856.50 - 1,579.52","According to 34 analysts, the average rating for CMG stock is ""Buy."" The 12-month stock price forecast is 1,709.46, which is an increase of 16.38% from the latest price."
cb,April 27,$166.60,$166.03,0.57,0.34%,165.76,165.51 - 167.24,"1,190,694",91.05 - 179.01,"According to 21 analysts, the average rating for Chubb stock is ""Buy."" The 12-month stock price forecast is 182.07, which is an increase of 9.29% from the latest price."
chd,April 27,$84.77,$86.07,-1.30,-1.51%,85.34,84.36 - 85.84,"1,529,126",66.31 - 98.39,"According to 20 analysts, the average rating for CHD stock is ""Buy."" The 12-month stock price forecast is 91.75, which is an increase of 8.23% from the latest price."
ci,April 27,$250.44,$249.38,1.06,0.43%,248.74,247.46 - 250.97,"1,106,569",158.17 - 256.74,"According to 24 analysts, the average rating for Cigna stock is ""Buy."" The 12-month stock price forecast is 265.75, which is an increase of 6.11% from the latest price."
cinf,April 27,$108.43,$109.02,-0.59,-0.54%,108.71,108.19 - 109.91,"726,054",44.67 - 111.00,"According to 5 analysts, the average rating for CINF stock is ""Hold."" The 12-month stock price forecast is 101.17, which is a decrease of -6.70% from the latest price."
ctas,April 27,$350.15,$349.36,0.79,0.23%,348.76,346.93 - 352.24,"189,671",196.30 - 368.41,"According to 14 analysts, the average rating for Cintas stock is ""Hold."" The 12-month stock price forecast is 373.63, which is an increase of 6.71% from the latest price."
csco,April 27,$51.37,$51.64,-0.27,-0.52%,51.66,51.35 - 51.67,"10,244,211",34.75 - 53.18,"According to 27 analysts, the average rating for Cisco Systems stock is ""Buy."" The 12-month stock price forecast is 53.10, which is an increase of 3.37% from the latest price."
c,April 27,$72.99,$72.20,0.79,1.09%,72.50,72.36 - 73.10,"12,266,827",37.58 - 76.13,"According to 26 analysts, the average rating for Citigroup stock is ""Buy."" The 12-month stock price forecast is 85.02, which is an increase of 16.48% from the latest price."
cfg,April 27,$45.71,$45.35,0.36,0.79%,45.90,45.68 - 46.24,"3,157,425",17.34 - 47.16,"According to 21 analysts, the average rating for CFG stock is ""Buy."" The 12-month stock price forecast is 50.53, which is an increase of 10.54% from the latest price."
ctxs,April 27,$140.34,$140.60,-0.26,-0.18%,140.36,139.00 - 141.47,"658,467",110.65 - 172.18,"According to 15 analysts, the average rating for Citrix Systems stock is ""Buy."" The 12-month stock price forecast is 158.85, which is an increase of 13.19% from the latest price."
clx,April 27,$186.31,$187.82,-1.51,-0.80%,187.54,186.07 - 188.12,"992,991",175.70 - 236.00,"According to 16 analysts, the average rating for Clorox stock is ""Hold."" The 12-month stock price forecast is 210.92, which is an increase of 13.21% from the latest price."
cme,April 27,$204.78,$204.69,0.09,0.04%,204.09,203.59 - 205.16,"1,749,355",143.58 - 215.84,"According to 21 analysts, the average rating for CME Group stock is ""Hold."" The 12-month stock price forecast is 207.94, which is an increase of 1.54% from the latest price."
cms,April 27,$63.32,$63.95,-0.63,-0.99%,63.86,63.27 - 63.94,"1,411,502",51.29 - 67.46,"According to 20 analysts, the average rating for CMS Energy stock is ""Buy."" The 12-month stock price forecast is 66.14, which is an increase of 4.45% from the latest price."
ko,April 27,$53.58,$53.66,-0.08,-0.15%,53.51,53.32 - 53.70,"7,366,284",41.79 - 54.86,"According to 22 analysts, the average rating for Coca-Cola stock is ""Buy."" The 12-month stock price forecast is 59.36, which is an increase of 10.79% from the latest price."
ctsh,April 27,$79.94,$79.56,0.38,0.48%,79.47,79.15 - 80.09,"2,854,997",46.76 - 82.47,"According to 29 analysts, the average rating for Cognizant stock is ""Buy."" The 12-month stock price forecast is 84.90, which is an increase of 6.20% from the latest price."
cl,April 27,$78.56,$79.28,-0.72,-0.91%,78.96,78.41 - 79.13,"3,660,292",64.08 - 85.45,"According to 21 analysts, the average rating for CL stock is ""Buy."" The 12-month stock price forecast is 85.02, which is an increase of 8.22% from the latest price."
cmcsa,April 27,$54.30,$54.32,-0.02,-0.04%,54.45,54.22 - 54.77,"9,884,196",33.49 - 58.32,"According to 32 analysts, the average rating for Comcast stock is ""Buy."" The 12-month stock price forecast is 61.18, which is an increase of 12.67% from the latest price."
