id,internationalSecNumber,symbol,marketCap,sharesOutstanding,sector,subSector,companyName,marketClassification,dateListed,dateOfIncorporation,website,natureofBusiness,companyAddress,telephone,fax,email,companySecretary,auditor,registrars,boardOfDirectors
11,NGARBICO0007,ARBICO,,148500000.0,CONSTRUCTION/REAL ESTATE,Building Construction,ARBICO PLC.,Main Board,,1958-06-18T00:00:00,www.arbico.ng,Building Construction,Plot D Block 7 Industrial crescent Ilupeju Lagos ,234 1 793 7182,Arbico Plc,Info@arbico.ng,Olaniwun Ajayi and Co,,Apel Asset Limited,
12,NGAP00000004,ARDOVA,,1302481103.0,OIL AND GAS,Petroleum and Petroleum Produc,ARDOVA PLC,Main Board,,1964-11-12T00:00:00,www.ardovaplc.com,Petroleum Products Marketing,"1 AP/Conoil Road, Ijora, Lagos",01271600,102776129,investorrelations@ardovaplc.com,"Akinleye Olagbende, Oladeinde Nelson-Cole","Deloitte &amp; Touche, PKF ",Veritas Registrars Limited,"AbdulWasiu  Sowami, Aniola Durosinmi-Etti, Mohammed Aminu Umar, Moshood Olajide, Olumide Adeosun, Olusola Adeeyo"
13,NGASOSAVING3,ASOSAVINGS,,14741733802.0,FINANCIAL SERVICES,"""Mortgage Carriers, Brokers an",ASO SAVINGS AND LOANS PLC,Main Board,2008-04-25T00:00:00,1995-11-09T00:00:00,www.asoplc.com,"Mortgages, Savings and Small Business Banking","PLOT 266 FMBN BUILDING, CADASTRAL ZONE AO, CENTRAL BUSINESS DISTRICT, ABUJA",094611587,094611589,customerservice@asoplc.com,"BILKISU RIMI, IBRAHIM K. GAGA","AMINU IBRAHIM &amp; CO, ERNST &amp; YOUNG",FIRST REGISTRARS NIGERIA PLC,
14,NGABCTRANS01,ABCTRANS,,1657700001.0,SERVICES,Road Transportation,ASSOCIATED BUS COMPANY PLC,Main Board,2006-12-20T00:00:00,1993-04-05T00:00:00,www.abctransport.com,TRANSPORTATION BY ROAD,"KM 5 UMUOBA URATTA, MCC ROAD OWERRI, IMO STATE",046660750,083-231275,info@abctransport.com,Onyekachukwu C. Chigbo,,FIRST REGISTRARS,
15,NGAUSTINLAZ9,AUSTINLAZ,,1079860000.0,INDUSTRIAL GOODS,Electronic and Electrical Prod,AUSTIN LAZ & COMPANY PLC,Main Board,,1982-07-13T00:00:00,,"Production, sales and marketing of ice block machines and coolers",,,,,Ifeanyi Ofor &amp; co,David Ugiagbe,First Registrar's,
16,NGGTASSURE05,MANSARD,,36000000000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",AXAMANSARD INSURANCE PLC,Main Board,2009-11-19T00:00:00,1989-06-23T00:00:00,www.axamansard.com,Life and Non-life Insurance,"Plot 1412, Ahmadu Bello Way, Victoria Island",012701560 ,,omowunmi.adewusi@axamansard.com,Omowunmi Mabel Adewusi,KPMG Professional Services,DATAMAX REGISTRARS LIMITED,
17,NGBOCGAS0008,BOCGAS,,416244706.0,NATURAL RESOURCES,Chemicals,B.O.C. GASES PLC.,Main Board,,1959-12-11T00:00:00,,Manufacture of Industrial and Medical Gases well as Marketing of Special Gass Welding and Medical Equipment,,,,,,,,
18,NGBERGER0000,BERGER,,289823447.0,INDUSTRIAL GOODS,Building Materials,BERGER PAINTS PLC,Main Board,,1959-09-01T00:00:00,www.bergerpaintsnig.com,"Manufacturing of decorative, industrial automotive and marine paints, putty and allied products","102, Oba Akran Avenue, Ikeja Industrial Estate, Ikeja, Lagos","012805161,012805162,015805163","012805160,012805162",customercare@bergerpaintnig.com,Ayokunle Ayoko,KPMG Professional Service,Meristem Registrars Limited,
19,NGBETAGLAS04,BETAGLAS,,499972000.0,INDUSTRIAL GOODS,Packaging/Containers,BETA GLASS PLC.,Main Board,1986-07-02T00:00:00,1974-06-02T00:00:00,www.frigoglass.com,Manufacture and Sale of Glass Bottles and Glassware,"Iddo House, Iddo",23412806700,23412806701,info-nigeria@frigoglass.com,"Ms. Titi Talabi, Temidayo Olaofe Mrs",PricewaterhouseCoopers ,City Securities (Registrars) Limited.,
20,NGBAPLC00002,BAPLC,,10000000.0,ICT,Telecommunications Services,BRICLINKS AFRICA PLC,Growth Board,2021-02-05T00:00:00,2015-07-30T00:00:00,,Telecommunication Services,"8 Justice Lawal Uwais Street, off Jose Marti Crescent, Asokoro, Abuja",+234(0)92921788,,connect@bricnet.com.ng,,,,
21,NGBUACEMENT3,BUACEMENT,,33864354060.0,INDUSTRIAL GOODS,Building Materials,BUA CEMENT PLC,Main Board,2020-01-09T00:00:00,2014-05-30T00:00:00,,Cement Manufacturing & Marketing,,,,,Aliyu Ahmed,PricewaterhouseCoopers,,
22,NGCILEASING2,CILEASING,,781646167.0,SERVICES,Support and Logistics,C & I LEASING PLC.,Main Board,1997-12-01T00:00:00,1990-12-28T00:00:00,www.c-ileasing.com,Equipment Leasing/Rentals and Providing Ancillary Logistics Support Services to Companies,"Leasing House, 2 C & I Leasing Drive,Off Bisola Durosimi Etti Drive, Off Admiralty Way, Lekki Phase 1, Lagos",09038869179,,info@c-ileasing.com,"MBANUGO UDENZE &amp; CO. Barristers, Solicitors &amp; Notary Public",PKF Professional Services ,Centurion Registrars,
23,NGCADBURY001,CADBURY,,1878202040.0,CONSUMER GOODS,Food Products--Diversified,CADBURY NIGERIA PLC.,Main Board,,1965-01-09T00:00:00,www.cadburynigeria.com,"Manufacturing and Marketing of Foods, Food Drinks, Confectionery and Domestic Products",LATEEF JAKANDE ROAD AGIDINGBI IKEJA,23412717777,,cadburynigeria@mdlz.com,FOLA AKANDE,KPMG PROFESSIONAL SERVICES,FIRST REGISTRARS NIGERIA LTD,
24,NGCAP0000009,CAP,,700000000.0,INDUSTRIAL GOODS,Building Materials,CAP PLC,Main Board,1978-05-24T00:00:00,1965-09-21T00:00:00,https://www.capplc.com/,"Manufacture, marketing of paints and sales of fire estinguishing products","2, Adeniyi Jones Ikeja Lagos", 08159493070,,careline@capplc.com,"Ayomipo Wey, MRS ROSE HAMIS",Ernst &amp; Young,Africa Prudential Plc,
25,NGCAPHOTEL09,CAPHOTEL,,1548780000.0,SERVICES,Hotels/Lodging,CAPITAL HOTEL PLC,Main Board,1990-08-15T00:00:00,1981-01-16T00:00:00,www.capitalhotelsng.org,"Sale of Accommodation, Operation and Maintenance Restaurants, Bars;","1 LADI KWALI STREET,WUSE ZONE 4,FCT ABUJA","94612000,94612100",,info@capitalhotelsng.org,IFEBUNANDU&amp;CO,PKF Professional Services (Chartered Accountants),City Securities Registrars Limited,
26,NGCAPOIL0007,CAPOIL,,5857548000.0,OIL AND GAS,Petroleum and Petroleum Produc,CAPITAL OIL PLC,ASeM,,1985-08-29T00:00:00,www.capitaloilplc.com,Marketing of petroleum products and Gas,"43, Adeniyi Jones, Ikeja",012121970,,info@capitaloilplc.com,,"Egunjobi, Adegbite &amp; Co.",,
27,NGCAVERTON07,CAVERTON,,3350509750.0,SERVICES,Support and Logistics,CAVERTON OFFSHORE SUPPORT GRP PLC,Main Board,2014-02-06T00:00:00,2008-06-02T00:00:00,www.caverton-offshore.com,Marine & Aviation,"1 Prince Kayode Akingbade Close, Victoria Island, Lagos",23412705656,23414617645,info@caverton-offshore.com,Ms. Amaka Obiora ,Ernst &amp; Young,United Securities Limited,
28,NGCHAMPION00,CHAMPION,,7829496464.0,CONSUMER GOODS,Beverages--Brewers/Distillers,CHAMPION BREW. PLC.,Main Board,1983-09-01T00:00:00,1974-07-31T00:00:00,www. championbreweries.com,"Brewing, Bottling and Selling of beer and non-alcoholic drinks","Industrial Layout, Aka Offot, Uyo, Akwa Ibom State, Nigeria.",080722909423,CHAMPION BREWERIES PLC,info@championbreweries.com,Tosan Atle Aiboni,KPMG Professional Services,,
29,NGCHAMS00001,CHAMS,,4696060000.0,ICT,Processing Systems,CHAMS PLC,Main Board,,1985-09-10T00:00:00,WWW.CHAMS.COM,Intelligent Business Solutions,"8 LOUIS SOLOMON CLOSE, VICTORIA ISLAND,LAGOS",2347389314,029200562G0K0C6A5A70,INFO@CHAMS.COM,Yetunde Emmanuel,BDO PROFESSIONAL SERVICES,First Registrars Limited,
30,NGCHELLARAM5,CHELLARAM,,722925000.0,CONGLOMERATES,Diversified Industries,CHELLARAMS PLC.,Growth Board,1977-04-01T00:00:00,1947-08-13T00:00:00,www.chellaramsplc.com,"Distributive Trade and Manufacturing, Assembly of Motorcycles, Tricycles and Bicycles, Manufacturing fo Real Milk and Packaging Materials, Large Scale Farming & Retail of Wears and Apparels and KFC Franchise","PLOT 110/114, OSHODI-APAPA EXPRESSWAY, ISOLO, LAGOS",017733838 ,012793737,info@chellaramsplc.com,Ezinwanne Dorothy Nnoruka (Mrs.),PKF Professional Services ,Union Registrars Ltd,
31,NGCONOIL0003,CONOIL,,693952117.0,OIL AND GAS,Petroleum and Petroleum Produc,CONOIL PLC,Main Board,,1970-06-30T00:00:00,www.conoilplc.com,Marketing of Refined Petroleum Products. Manufacturing and Marketing of Lubricants,38 / 39 Marina Lagos,019032991,,info@conoilplc.com,Evi Obieroma,Akintola Williams Deloitte,Meristem Registrars Limited,
32,NGHMARKINS04,CHIPLC,,10704500000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",CONSOLIDATED HALLMARK INSURANCE PLC,Main Board,2008-02-22T00:00:00,1991-08-02T00:00:00,www.chiplc.com,General and Special Risks Insurance,266 IKORODU ROAD OBANIKORO LAGOS,012912543,,info@chiplc.com,Rukevwe Falana,SIAO Professional Services,Meristem registrars &amp; Probate Services limited,
33,NGCORNERST03,CORNERST,,18166392726.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",CORNERSTONE INSURANCE PLC,Main Board,,1991-07-26T00:00:00,www.cornerstone.com.ng,"General Business, Special Risks and Life and Pensions","21 Water Corporation Drive, Off Ligali Ayorinde Street, Victoria Island, Lagos",012806500,,enquiries@cornerstone.com.ng,PAC Solicitors,KPMG Professional Services,Lighthouse Registrars Limited,
34,NGWAPIC00004,WAPIC,,23991679506.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",CORONATION INSURANCE PLC,Main Board,1990-08-31T00:00:00,1958-03-14T00:00:00,www.coronationinsurance.com.ng,General Insurance Underwriter,"119, Awolowo Road, Ikoyi, Lagos ",07098821284,,"info@coronationinsurance,com.ng",Ms. Mary Agha ,PricewaterhouseCoopers Limited,United Securities Limited,
35,NGCOURTVILE6,COURTVILLE,,3552000000.0,ICT,Computer Based Systems,COURTEVILLE BUSINESS SOLUTIONS PLC,Main Board,,2005-01-04T00:00:00,www.courtevillegroup.com,Development of Business Solutions and provision of other e-commerce services ,"38 Commercial Avenue, Sabo Yaba, Lagos",2348028994830 ,,info@courtevillegroup.com,"Jackson, Etti &amp; Edu",Abax-OOSA Professionals,,
36,NGCUSTODYIN6,CUSTODIAN,,5881864195.0,FINANCIAL SERVICES,Other Financial Institutions,CUSTODIAN INVESTMENT PLC,Main Board,,1991-08-22T00:00:00,www.custodianplc.com.ng,"Investment Holding Company having interest in Life Insurance, General Insurance, Pensions, Trustees, Property and Financial Services","16A, COMMERCIAL AVENUE, SABO, YABA, LAGOS STATE, NIGERIA.",234012774000,,carecentre@custodianinsurance.com,CUSTODIAN TRUSTEES LIMITED,Ernst &amp; Young,"Meristem Registrars Limited, Meristem Registrars Limited",
37,NGCUTIX00002,CUTIX,,1761322026.0,INDUSTRIAL GOODS,Electronic and Electrical Prod,CUTIX PLC.,Main Board,1987-08-12T00:00:00,1982-11-04T00:00:00,www.cutixplc.com.ng,"Manufacturing and Marketing of Electrical , Automobile and Telecommunication Wires, Cables, and Related Products","17, Osita Onyejianya Street, Umuanuka, Otolo, Nnewi, Anambra State",046280087,,secretariat@cutixplc.com.ng,Mrs Chinwendu Nwokporo,Alatta Nzewi Oyeka &amp; Co,EDC Registrars Ltd,
38,NGCWG0000002,CWG,,2524826359.0,ICT,IT Services,CWG PLC,Main Board,,1991-09-26T00:00:00,www.cwlgroup.com,IT Services (Information Technology Services),"Block 54, Plot 10, off Rufus Giwa Street, off Adebayo Doherty Road, Lekki Phase 1, Lagos",012706065,012705998,info.cwl@cwlgroup.com,"Folasade Afolabi-Modebelu, Okey Ejibe",Ernst&amp;Young,"Africa Prudential Registrars Plc, Africa Prudential Registrars Plc",
39,NGDAARCOMM01,DAARCOMM,,12000000000.0,SERVICES,Media/Entertainment,DAAR COMMUNICATIONS PLC,Main Board,,1988-08-18T00:00:00,,"Broadcasting, Multimedia and Allied Services",,,,,,,,
40,NGDANGCEM008,DANGCEM,,17040507405.0,INDUSTRIAL GOODS,Building Materials,DANGOTE CEMENT PLC,Premium Board,2010-10-26T00:00:00,1992-11-04T00:00:00,www.dangotecement.com,Production and Sale of Cement,"Marble House, 1 Alfred Rewane Road, Ikoyi, Lagos State",+234 1 450 643,,customercare@dangote.com,"Edward Imoedemhe, Ityoyila Ukpi, Mahmud Kazaure","Ahmed Zakari &amp; Co. , Deloitte Nigeria, KPMG",United Securities Limited,"Abdu Dantata , Aliko Dangote , Berlina Moroole, Cherie Blair (QC) , Devakumar V. G. Edwin , Dorothy Ufot (SAN) , Douraid Zaghouani  , Emmanuel Ikazoboh , Ernest Ebi , Michel Puchercos , Olakunle Alake , Sani Dangote , Sir Michael L. Davis , Viswanathan Shankar  "
41,NGDANSUGAR02,DANGSUGAR,,12146878241.0,CONSUMER GOODS,Food Products,DANGOTE SUGAR REFINERY PLC,Main Board,2007-03-08T00:00:00,2005-01-04T00:00:00,,Refinery Raw Sugar into Edible Sugar and Sale of Refined Sugar,,,,,,,,
42,NGDEAPCAP009,DEAPCAP,,1500000000.0,FINANCIAL SERVICES,Other Financial Institutions,DEAP CAPITAL MANAGEMENT & TRUST PLC,Main Board,2007-12-17T00:00:00,2002-06-05T00:00:00,,"BANKING Company specialising in Funds Management, Capital Maket Operations, Financial Advisory Services Portfolio Management, Leasing and Issuing House Services",,,,,,,,
43,NGDUNLOP0005,DUNLOP,,4772669212.0,CONSUMER GOODS,Automobiles/Auto Parts,DN TYRE & RUBBER PLC,Main Board,,1961-10-21T00:00:00,http://www.dntyreandrubberplc.com,Marketing of Automobile,"Plot 23 Oba Akran Avenue, Ikeja, Lagos",012715997,,info@dntyreandrubberplc.com,,SIAO Chartered Accountants,Union Registrars Ltd,
44,NGETRANZ0005,ETRANZACT,,6634566483.0,ICT,Processing Systems,E-TRANZACT INTERNATIONAL PLC,Main Board,2009-08-07T00:00:00,2003-05-07T00:00:00,www.etranzact.com,Remote real-time settlement of transactions using multi channel electronic payment system.,"4th & 5th Floor, Fortune Towers, 27/29, Adeyemo Alakija Street, Victoria Island, Lagos",017101060 ,,info-ng@etranzact.com,PAC Solicitors, Deloitte &amp; Touche Nigeria,Meristem Registrars,
45,TG0000000132,ETI,,18349551215.0,FINANCIAL SERVICES,Banking,ECOBANK TRANSNATIONAL INCORPORATED,Main Board,2006-09-11T00:00:00,1985-10-03T00:00:00,www.ecobank.com,Provision of Banking and Financial Services through its subsidiaries and affiliates,"2365,Boulevard du Mono ",+22822210303,+228 22 21 51 19,madicisse@ecobank.com,CISSE Madibinet,"Akintola Williams Deloitte, Grant Thorton Côte d’Ivoire","EDC Investment Corporation, EDC Securities Limited, Ghana Commercial Bank Limited, Share Registry Department",
46,NGECOCORP009,EKOCORP,,498600908.0,HEALTHCARE,Healthcare Providers,EKOCORP PLC.,Main Board,,1991-10-09T00:00:00,www.ekohospitals.com,Healthcare Services,"31, MOBOLAJI BANK ANTHONY WAY, ",012716997 ,EKOCORP,info@ekocorp.org,SUNMONU 'LAYO,BDO PROFESSIONAL SERVICES,UNION REGISTRARS LIMITED,
47,NGELLAHLAKE8,ELLAHLAKES,,2000000000.0,AGRICULTURE,Crop Production,ELLAH LAKES PLC.,Main Board,,1980-07-02T00:00:00,www.ellahlakes.com,Specializing in Oil Palm and Cassava Plantations,"No 12 Ihama Road, G.R.A Benin-City, Edo State, Nigeria",0,,info@ellahlakes.com,OAKE Legal    Rep:Kenechi Ezezika,Olabode Akande &amp; Co(Chartered Accountants) ,Cardinalstone Registrars,"Charles Anajemba, Chijioke Dozie, Chuka Mordi, Enotie Ogbebor, Gbubemi Jakpa, Hauwa  Nuru, Joe Attueyi, Maxwell Oko, Nnenna Onyewuchi, Olumide Akpata, Osaro Oyegun, Shehu Abubakar"
48,NGETERNAOIL1,ETERNA,,1304144647.0,OIL AND GAS,Petroleum and Petroleum Produc,ETERNA PLC.,Main Board,,1989-01-13T00:00:00,www.eternaplc.com,"Manufacturing and Marketing of Lubricanting Oils and petro-chemicals, sale of Fuels.",5a Oba Adeyinka Oyekan Avenue (Formerly Second Avenue) Ikoyi Lagos,23414605316,,investors@eternaplc.com,Bunmi Agagu,Akintola Williams Deloitte,Wema Registrars Limited,"Farouk Ahmed, Nnamdi  Obiagwu"
49,NGEVANSMED04,EVANSMED,,732347370.0,HEALTHCARE,Pharmaceuticals,EVANS MEDICAL PLC.,Main Board,1979-07-23T00:00:00,1954-04-23T00:00:00,www.evansmedicalplc.com,Pharmaceutical and Food Manufacturing,"Plot 6, Abimbola Way, Isolo, Lagos.",23417901401,"2806822,2806823",info@evansmedicalplc.com,CAUTIOUS SERVICES LIMITED,PRICEWATERHOUSECOOPERS,CITY SECURITIES (REGISTRARS) LIMITED,
50,NGFBNH000009,FBNH,,35895292792.0,FINANCIAL SERVICES,Other Financial Institutions,FBN HOLDINGS PLC,Premium Board,2012-11-26T00:00:00,2012-08-13T00:00:00,http://www.fbnholdings.com/,Provision of Banking and Other Financial Services to corporate and Individual customers,"11th Floor, Samuel Asabia House, 35 Marina, Lagos",019052057,,fbnholdingshelpdesk@fbnholdings.com,SEYE KOSOKO,KPMG Professional Services,FIRST REGISTRARS NIGERIA LIMITED,"Dr Adesola Adeduntan, FCA , Dr Sule Wuro Bokki  , Dr. Oba A. Otudeko, CFR , Mr. Chidi Anya , Mr. Omatseyin Akene Ayida  , Mr. Oye Hassan-Odukale, MFR , MR. U.K Eke, MFR , MS CECILIA AKINTOMIDE , Otunba (Mrs.) Bosede Adebola Osibogun  "
51,NGFCMB000005,FCMB,,19802710754.0,FINANCIAL SERVICES,Other Financial Institutions,FCMB GROUP PLC.,Main Board,2013-06-21T00:00:00,2012-11-20T00:00:00,www.fcmb.com,Provision of banking and other financial services to corporate and individual customers,"44 MARINA, LAGOS, NIGERIA",234014612610,234012713552,fcmbgroupplc@fcmb.com,Olufunmilayo Adedibu (Mrs),KPMG PROFESSIONAL SERVICES,CITY SECURITIES (REGISTRARS) LIMITED,
52,NGFIDELITYB5,FIDELITYBK,,28974797023.0,FINANCIAL SERVICES,Banking,FIDELITY BANK PLC,Main Board,2005-05-17T00:00:00,1987-11-19T00:00:00,www.fidelitybank.ng,Commercial Banking ,"2 Kofo Abayomi Street, Victoria Island, Lagos State",2700530 ,,true.serve@fidelitybank.ng,Mrs. Ezinwa Unuigboje,Ernst &amp; Young / PKF Professional Services ,First Registrars Nigeria Limited,"Alhaji Isa Mohammed Inuwa , Mr. Chidozie Agbapu , Mr. Gbolahan Joshua , Mr. Hassan Imam , Mr. Obaro Odeghe , Pst. Kings Akuma "
53,NGFIDSON0006,FIDSON,,2086360250.0,HEALTHCARE,Pharmaceuticals,FIDSON HEALTHCARE PLC,Main Board,2008-04-06T00:00:00,1995-03-13T00:00:00,www.fidson.com,Manufacturing and Distributin of Pharmaceutical Products,"268, Ikorodu Road, Obanikoro, Lagos",013429106013429102,,info@fidson.com,J. Abayomi Adebanjo,,,"EKWUNIFE OKOLI, OLA IJIMAKIN, VINCENT AHONKHAI"
54,NGFLOURMILL0,FLOURMILL,,4100379605.0,CONSUMER GOODS,Food Products,FLOUR MILLS NIG. PLC.,Main Board,,1960-09-29T00:00:00,www.fmnplc.com,"Flour milling, Pasta Production, Importation, Blending, Distribution and Sale of Fertilizer, Manufacturing and Marketing of Laminated and Woven Polypropylene Sacks, Operation of Terminals A and B at Apapa Ports, etc","1, Golden Penny Place, Wharf Road, Apapa, Lagos",07056891000,,contactus@fmnplc.com,"Alh. Y. Olalekan Saliu, Joseph Odion Umolu",KPMG Professional Services,Atlas Registrars Limited,
55,NGFTNCOCOA02,FTNCOCOA,,2200000000.0,AGRICULTURE,Crop Production,FTN COCOA PROCESSORS PLC,Main Board,,1991-08-26T00:00:00,www.ftncocoa.com.ng,Processing of Cocoa Beans and Palm Kernel,"NO. 21, EMMANUEL KESHI STREET, BYE OLADIPO SESSI BUS STOP,MAGODO G.R.A., LAGOS",23417409651,,info@ftncocoa.com.ng,,Baker Tilly Nigeria,Meristem Registrars,
56,NGGLAXOSMTH8,GLAXOSMITH,,1195876488.0,HEALTHCARE,Pharmaceuticals,GLAXO SMITHKLINE CONSUMER NIG. PLC.,Main Board,,1971-06-23T00:00:00,www.gsk.com/ng,"Manufacturing, Marketing and Distribution of Pharmaceutical and Oral healthcare Products","1, Industrial Avenue, Ilupeju Lagos",2711000,,ng.investors@gsk.com,"Olaleye Dada, Uchenna Uwechia",DELOITTE &amp; TOUCHE,"Greenwich Registrars &amp; Data Solutions Limited, UNION REGISTRARS LIMITED","Mr. Basel Nizameddin , Mr. Bosco Kirugi , Mr. Edmund C. Onuzo , Mr. Edmund C. Onuzo , Mr. Kunle Oyelana , Mr. Mark Pfister , Mr. Samuel Kuye , Mrs. Lubabatu Bello , Mrs. Oludewa Edodo -Thorpe , Oussama Abbas"
57,NGGSPECPLC08,GSPECPLC,,800000000.0,SERVICES,Transport-Related Services,GLOBAL SPECTRUM ENERGY SERVICES PLC,Main Board,2017-11-27T00:00:00,2006-03-14T00:00:00,www.globalspectrumplc.com  ,"Maritime Security, Logistics, Energy and Engineering Services","49, Chris Madueke Street, Lekki Phase 1, Lagos",014540104,0292003873E0K6YD4A95,contact@globalspectrumplc.com,Rayfield Associates,OLUFEMI FAJUYI &amp; CO.,Africa Prudential Plc ,
58,NGGOLDBREW01,GOLDBREW,,1024668000.0,CONSUMER GOODS,Beverages--Brewers/Distillers,GOLDEN GUINEA BREW. PLC.,Main Board,,1962-09-26T00:00:00,,"Brewing, Bottling and Marketing of Beer, Stout and Malt Drinks",,,,,,,,
59,NGGOLDINSUR8,GOLDINSURE,,4549947000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",GOLDLINK INSURANCE PLC,Main Board,2008-02-12T00:00:00,1993-09-08T00:00:00,www.goldlinkplc.com,"Life, General & Specific Risk Insurance","Goldlink Plaza, 6, Emmanuel Street Maryland Lagos",08117923001,,info@goldlinkplc.com,Miss Tobi Olaleye,Messrs. KPMG Professional Services,Pace Registrars Ltd,
60,NGVANLEER005,VANLEER,,42640000.0,INDUSTRIAL GOODS,Packaging/Containers,GREIF NIGERIA PLC,Main Board,,1940-01-20T00:00:00,www.greif.com,Manufacturing and Marketing of Metal Drums Containers,"2nd Floor, Plot 5, Chief Yesuf Abiodun Street, Oniru Road, Victoria Island, Lagos",012809354,12121765,info.greifnigplc@gmail.com,Marina Nominees Ltd,Ernst &amp; Young,All Crown Registrars Ltd,
